"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"vir";-0,578305926116879;-0,367365500132042;-0,250299015843814;-0,792836363259109;-0,503644721518359;-0,343150835028511;0,740646062004371;0,199609391108716;0,0597445468868991;0,00107488414226402;0,000433753615291264;0,000201356036701337;0,00321400368518031;0,3741766873575;0,000449986849420367
"acontecer";-0,121056988463097;0,803056687839471;0,306035298723166;-0,139486161444773;0,925310436277929;0,352624740029045;0,0301730810020061;0,886790707625057;0,0830362113729029;4,72548649863101e-05;0,00207950132602668;0,000302002013632818;0,00322453277178205;0,388065003147676;0,000485596728529369
"jesus";-1,97820319819165;-1,75998955435847;-1,08280784865644;-0,691522041723306;-0,615240927299197;-0,378517987930368;0,603258087805953;0,318911613165422;0,0778302990286058;0,0110012936827651;0,00870807457538721;0,0032961331667165;0,00281126612266386;1,41822052122938;0,00565443856072914
"país";0,29583322199543;0,336147105551736;-0,472681261514905;0,454354543713216;0,516270497726036;-0,725966061042021;0,337653154531893;0,291155150052641;0,371191695415463;0,000281741647996497;0,000363760816125562;0,000719273293523281;0,00321926822848118;0,283488848536205;0,000258719476230273
"olhar";-0,488781069396947;0,186985299081926;0,473863350592435;-0,69233771859702;0,26485677020447;0,671207400648064;0,665571815499953;0,0650533843222282;0,269374800177809;0,000742064179744595;0,000108599453661105;0,000697459438117748;0,0031060805475125;0,333611765021311;0,000345696855797706
"pedir";-0,24887310161779;-0,520737433309109;-0,583839476174919;-0,303149212117391;-0,634303754007638;-0,711167563127301;0,15888716411457;0,464578694606473;0,376534141278921;0,000184721113090648;0,000808720054096139;0,00101659396934523;0,00298236377994209;0,3476626175002;0,0003604762093257
"palavra";-0,723553859627486;-1,56565925459676;-0,784647750056757;-0,381851000048747;-0,826266827477289;-0,414092916592868;0,215819718016997;0,674889529951442;0,10929075203153;0,00155722324873248;0,00729127785917367;0,00183129629793661;0,00297446696499079;0,867260858747474;0,00223721973872179
"vez";-0,160866101248334;-0,115742492569909;0,142715120352614;-0,658702097423878;-0,473933426776925;0,584378861555468;0,593593252453384;0,205226928096301;0,201179819450313;8,14006146995335e-05;4,21390046870835e-05;6,40676195441615e-05;0,00314556462226902;0,116263796589675;4,25194475518483e-05
"deixar";-0,310852152579773;0,290608999876468;0,544631061785088;-0,449752610109958;0,420464053831328;0,787992746879694;0,344167614474749;0,20089501629306;0,454937369232169;0,000301155061710868;0,000263208874751498;0,000924458079120833;0,00311660963411424;0,295048438408924;0,000271312029252259
"escola";2,1735642645315;-1,40262255869731;0,262169684344524;0,835957529465332;-0,539451677631292;0,100831029108124;0,778585511764189;0,216536835866897;0,0048776523689071;0,0120379083981648;0,00501288455071664;0,000175134217427874;0,00254803895762043;1,37165145465158;0,0047939511087925
"mundo";-0,50053466995616;0,482335714252077;0,717252038608484;-0,501128060241306;0,482907529441305;0,71810235011987;0,399297053538538;0,247636932998257;0,353066013463183;0,000700363577492671;0,000650360361148016;0,00143813218498311;0,00279547249276125;0,441073081718833;0,000543846491573569
"bem";-0,183590913390836;0,252783222892544;0,480733078821497;-0,320217604064874;0,440902202006735;0,838490270851465;0,191620602954616;0,242619180034993;0,565760217010362;9,19163620030274e-05;0,000174255684800935;0,000630229132992448;0,00272703342984996;0,233536368937037;0,000148730318764103
"passar";-0,0409910269092556;-0,0157480146988259;0,426373917575185;-0,0956328405558384;-0,0367404159475634;0,994738408649843;0,0209695954395006;0,00206705902424936;0,976963345536231;4,50252446497151e-06;6,64553741404623e-07;0,000487146676770208;0,00267965254014214;0,157622501158244;6,65755731062529e-05
"conseguir";-0,238923433375978;0,382178914009727;0,905596624225888;-0,236193417881466;0,37781201561814;0,895248987826308;0,112419751977924;0,192108850254264;0,695471397767781;0,000142297797958169;0,000364094509163019;0,00204432658010379;0,00249276125296131;0,396791059188541;0,000392468170532799
"fato";0,167772984011483;0,710044207894845;0,486066222321754;0,191372730647791;0,809922406435731;0,55443861113541;0,0603257009012726;0,721635511745652;0,218038787353037;7,72044766491455e-05;0,00138283130772821;0,000648021342791237;0,00274282705975257;0,380360388944185;0,000396815831923765
"chegar";-0,265615010473533;0,469142368688444;0,783864002282809;-0,279194623096906;0,493127352144925;0,823939182828631;0,146332503153221;0,304883334461069;0,548784162385678;0,000184781724453569;0,000576451932845777;0,00160929339353632;0,00261911029218215;0,386639887335613;0,000391531851714927
"filho";-0,863261820166215;-0,398899968254198;-0,377157877369162;-0,843828516090632;-0,38992013826782;-0,368667494099339;0,816460433236604;0,116430531329978;0,0671090354334064;0,00168307342035914;0,000359373457356162;0,000321265699679029;0,00225848907607265;0,531985021077505;0,000639170617937392
"criança";0,838455451696361;-0,245869777752405;0,467822999147393;0,845968076602574;-0,248072789745816;0,472014728961999;0,839287739434684;0,0482003276466602;0,11251193291865;0,001635848037167;0,000140667337954786;0,00050926767291823;0,00232692813898394;0,509622971230964;0,000604339474495257
"obrigar";0,61248817477281;-1,07344514941465;-0,139776252859873;0,492444910432642;-0,86305764295601;-0,112381115514144;0,325326062050743;0,667378106668995;0,00729583128024108;0,000788005074653197;0,00242043438290041;4,10393416401965e-05;0,00210055277704659;0,597947042602616;0,000751033038363403
"igreja";-1,56019729687993;-1,00749423808653;-0,388513192985764;-0,822273022022054;-0,530981135192271;-0,204758666055057;0,766169051003859;0,213373020341167;0,0204579286549624;0,00510679083268646;0,0021294829636818;0,000316665368243808;0,00209792050539616;0,992525470983602;0,00206667577786081
"realmente";-0,430269787002805;0,432695230455364;0,701854363849207;-0,46264049382638;0,465248411906002;0,754657331966652;0,354461054723389;0,239408650401032;0,406130294875555;0,000454180330387295;0,000459315218245909;0,0012084832292353;0,00245327717820479;0,402421366029747;0,000397290957726547
"esquerdo";0,458521207090781;1,23933128400782;0,579047046043202;0,317814266304163;0,859016238820902;0,401354199648562;0,152302081904938;0,743105731634649;0,10459218646038;0,0004914309745948;0,0035901987996583;0,000783738846011703;0,00233745722558568;0,654230744409195;0,00100047345573579
"exemplo";0,203540751002263;0,849556376782056;0,834579871463689;0,168468923655363;0,703170483926493;0,690774559677023;0,0503150728961869;0,585421366563968;0,364263560539805;9,59657195060212e-05;0,00167185183693427;0,00161342651863666;0,00231639905238221;0,505273779381086;0,000591380366081707
"casa";-0,275429085638639;0,000323102106099748;0,263870333524403;-0,722096037734312;0,000847081019265849;0,691792306073256;0,716729019791263;6,58724423718896e-07;0,283270321484309;0,000171131961837027;2,3550010560132e-10;0,000157069789016945;0,00225585680442222;0,181157679037563;7,4032944737708e-05
"inclusive";0,826915103543102;0,395747601418674;-0,0544793811963592;0,900432455943655;0,430931764521403;-0,0593229012249761;0,865922234513123;0,132459290731929;0,0016184747549436;0,00170092186391675;0,000389582192700865;7,3828976359137e-06;0,00248749670966044;0,494818491352638;0,000609051976094639
"nada";-0,29041828614501;0,609518295084541;0,403005076471669;-0,369347721742526;0,775172240832852;0,512533176961043;0,209599434120019;0,616601363864903;0,173799202015049;0,000186046987147053;0,000819498601242006;0,000358257885792846;0,00220584364306396;0,353226556386301;0,000275220905802599
"lula";0,657766105726753;1,90819170327445;-1,5248559801471;0,260024434316345;0,754335718869044;-0,602797575307655;0,111920875691981;0,629072824481601;0,25900629982641;0,000939566744196955;0,0079073081088905;0,00504942946079773;0,00217162411160832;1,09481410290902;0,00260294757552249
"homem";-1,04370290893803;-0,167913986471471;-0,84016419503309;-0,772925254036761;-0,124350482822592;-0,622192501637553;0,771413370549588;0,0133350890138302;0,21525154043657;0,00206164262429159;5,33621527431456e-05;0,00133594302144937;0,00189260331666228;0,661694850739607;0,000828657579050087
"direito";0,689749519756583;0,629573523601973;0,224235034365812;0,718177997553059;0,65552180834059;0,23347702803608;0,624248841076749;0,34734147373319;0,0284096851900453;0,00103065509661398;0,000858664391139135;0,000108927485059967;0,00216635956830745;0,486112710150901;0,000511922826050326
"tô";-0,404905207384033;0,382957938045247;0,932242612920376;-0,372795803419702;0,352588975360163;0,858314804373739;0,257728155239976;0,153973539423676;0,588298305336324;0,000354307697656399;0,000316939242637649;0,00187815644525381;0,00216109502500658;0,444116462282371;0,000426253155382052
"depois";-0,28446695826825;0,26737332822265;0,469144711467239;-0,466084628917855;0,438077586324353;0,768669725595288;0,362158490818633;0,213678082601802;0,424163426579543;0,000178074052354784;0,000157316091590156;0,00048434033063664;0,0022005790997631;0,263212757647413;0,000152458223319467
"mulher";-0,499048555349907;0,519469516410804;-0,0092371040178709;-0,692733331615089;0,7210798326496;-0,0128220987160023;0,580117471448102;0,419796945737655;8,55828142304868e-05;0,000362527906580802;0,000392804063962836;1,24201690240175e-07;0,00145564622269018;0,364845733651625;0,000193764575883593
"música";-1,00328691888787;-0,528344256863595;-0,263522262257171;-0,861841205696132;-0,453857060014992;-0,226370283471099;0,823098702684964;0,152448936652891;0,0244523606621352;0,00145198311030036;0,000402666265493256;0,000100171893978455;0,00144248486443801;0,615777240906755;0,000546963733902257
"família";-0,822944723928246;-0,415459755199018;-0,413689145671882;-0,814444126709298;-0,411168268861064;-0,409415948822863;0,781840263130171;0,13308325768604;0,0850764791837754;0,00137087664210368;0,000349393618052465;0,00034642186736177;0,002024216899184;0,518246158269943;0,000543662313639999
"bolsonaro";0,306106038391444;2,01391355012175;-0,744182708189154;0,141145794666472;0,928617514098197;-0,343143376969532;0,030813180745867;0,890765085033801;0,0784217342203152;0,000193124006257406;0,0083593809357884;0,00114143613629993;0,00206106870229008;0,971019772041852;0,00194333921662578
"algo";-0,565036368689966;0,238746353938189;0,560069499536209;-0,680251574114154;0,287428548107459;0,674271922630665;0,648378144182177;0,0773103889947384;0,274311466823074;0,000685762400423669;0,000122431835639178;0,000673759202309986;0,00214793366675441;0,390738910099059;0,00032793984476485
"nicolas";-0,635529483583671;-0,0356072926703754;0,0942106094041361;-0,987674637137851;-0,0553371964261422;0,146412451131412;0,988572935126391;0,00207254523567397;0,00935451963793299;0,000877114037156898;2,75335723962586e-06;1,92745514939364e-05;0,00217162411160832;0,355922781878571;0,000275103571978544
"entender";-0,293820500417077;0,0480953078765597;0,671579274905864;-0,399964114035287;0,0654698946356588;0,914189477285953;0,30604017708439;0,00547656787800323;0,688483255037593;0,000189522573603829;5,07811083322992e-06;0,000990127966704116;0,00219531455646223;0,295744933880341;0,000192013332387076
"governo";1,14226306009636;0,121342220042365;-0,645774133969139;0,866816370479134;0,0920816110030997;-0,490051381779967;0,873235208301398;0,00658129936582065;0,12018349233278;0,00261708568735735;2,95331349986445e-05;0,000836463450547345;0,00200579099763096;0,680651734321639;0,000929256459535435
"dentro";-0,255449810662492;0,407070285554538;0,573730562377514;-0,341320289983017;0,543908596168496;0,7665923940791;0,205418490008707;0,348382206867647;0,446199303123616;0,000131917707895347;0,000334989141745079;0,000665438458284345;0,00202158462753356;0,313841420629298;0,000199118883517792
"momento";-0,800851216865332;-0,756463462965279;-0,237837227905107;-0,710594048513461;-0,671208862995835;-0,211032605189546;0,61204687284673;0,364708358538104;0,0232447686151501;0,00131345132526861;0,00117188829503424;0,000115843046982263;0,0020479073440379;0,570011923409006;0,000665392932931092
"coração";-1,82572372308102;-1,54511546920363;-0,926842431806391;-0,711758201993845;-0,602363103644927;-0,361329424849044;0,629200092490068;0,300974250393934;0,0698256571159805;0,00676480374872086;0,00484514708595919;0,00174339943355862;0,00202948144248486;1,28163722203044;0,00333361397740776
"forma";0,427865523509497;-0,0515696970608628;0,321028152765811;0,796192646007693;-0,095963360683797;0,597384552737631;0,798648549038366;0,00774852575075707;0,193602925210868;0,000375871931672239;5,46027441658422e-06;0,00021159799525459;0,00205317188733877;0,26659615531338;0,000145926132723725
"chamar";-0,697105518169733;0,164988402995157;-0,399386368461746;-0,849947468118912;0,201162480771774;-0,486952726420128;0,848353549376112;0,0317377019771872;0,119908748646694;0,00092483880706377;5,18054966250359e-05;0,000303567643483399;0,00190313240326402;0,421438805228122;0,000338016614680636
"começar";-0,772209429470974;-0,257793394476904;0,111387127716069;-0,939783707212972;-0,313736174035708;0,135558831355538;0,923026991033638;0,0687031373943162;0,00826987157204407;0,00113328229781502;0,000126302362512075;2,35796803986405e-05;0,00190050013161358;0,447561109942961;0,000380690981390621
"projeto";2,10013910916691;-1,40460790228632;-0,0357347913671718;0,831141441053937;-0,55588119421532;-0,0141422374656194;0,769899268916856;0,23000474575829;9,59853248457019e-05;0,0078134330586856;0,00349507086264324;2,26218580247226e-06;0,0017715188207423;1,33277105137146;0,00314671110430786
"dever";0,586596827933298;0,195990029932641;-0,114752035693633;0,932545171526158;0,311576107093668;-0,182427609071666;0,916561795955855;0,0683343533773436;0,0151038506667989;0,000643990895506556;7,18899639201399e-05;2,46445620261574e-05;0,00187154514345881;0,341179773661938;0,00021785466329751
"grande";0,0806303818078765;-0,20210720780035;0,0555502894528839;0,359033700811124;-0,899949834667334;0,247356214322797;0,185165352182082;0,776988690046402;0,0378459577714987;1,27321303028167e-05;7,99958111160075e-05;6,04332978619266e-06;0,00195841010792314;0,104338189305562;2,13201488923062e-05
"questão";1,19957628495202;-0,607722382753953;0,445980765565568;0,846704010226992;-0,428952276764171;0,314789236354047;0,812392129821953;0,139254496901998;0,0483533732760434;0,00253024695963171;0,000649407997699644;0,000349735265317117;0,00175835746249013;0,74108745175319;0,000965708576587397
"ainda";0,0581729637442965;-0,0484798825996922;0,168994142610457;0,314134644734186;-0,261791899827392;0,912570230811027;0,196161277618552;0,0909877277699544;0,712850994611481;6,49382552032041e-06;4,51004996921684e-06;5,48026474138273e-05;0,00191892603316662;0,073137311500682;1,026446264058e-05
"público";1,76510807491304;-0,564959373457963;-0,294474400101238;0,940605268860563;-0,301060184880127;-0,156921933685803;0,925579186190902;0,0633277726860529;0,0110930411230408;0,00568337803546559;0,000582235093195588;0,000158182717594852;0,00182416425375099;1,02161898253728;0,00190388998267436
"ministro";1,29465256177135;0,691119283937169;-1,77555852758583;0,562023006486137;0,300022530575671;-0,770789608990193;0,499936805739419;0,0951488323475159;0,404914361913062;0,00288104709653283;0,00082101276547322;0,00541893413905881;0,00171887338773361;1,01957721525319;0,00178683368440335
