errado;8;27;15;142
saúde;55;25;24;67
democracia;27;0;80;66
declarar;23;150;11;7
princípio;29;58;4;86
luta;33;50;17;80
gentileza;126;3;18;33
feliz;21;74;6;93
campanha;11;7;33;127
tornar;23;48;24;88
espiritual;0;147;5;42
causa;15;82;21;58
local;23;45;25;90
polícia;52;3;64;57
importar;11;65;9;89
medo;19;36;25;87
apresentar;98;41;11;40
inimigo;0;89;13;77
escrever;17;83;23;56
buscar;29;100;11;47
ordem;105;18;13;30
falta;49;28;29;67
caro;14;11;20;139
congresso;75;18;47;48
artigo;158;2;5;10
época;16;34;28;108
horizonte;33;2;8;2
cantar;0;118;2;42
criminoso;15;1;139;20
cadeia;2;11;135;25
tender;49;41;20;73
parlamentar;105;7;23;44
entregar;13;87;19;57
qualidade;123;10;5;42
médio;137;4;1;32
mente;3;66;10;90
explicar;21;23;31;90
condição;55;24;15;77
porta;18;77;8;46
futuro;45;45;15;68
corpo;8;84;7;54
reunião;116;9;18;28
cabeça;7;35;28;113
água;31;52;9;62
pé;40;81;13;38
pedro;106;45;2;12
condenar;12;4;141;15
idade;31;33;12;98
cumprir;45;78;19;36
moral;40;14;57;60
golpe;14;1;98;21
reino;1;135;6;19
vivo;4;86;24;58
preparar;24;73;10;59
partir;69;55;9;42
diante;17;120;14;26
alexandre;4;3;139;9
líder;46;49;31;36
construir;54;46;8;53
base;62;21;11;67
volta;15;49;11;90
necessário;60;30;19;62
compreender;16;48;2;105
to;2;4;1;6
nascer;11;67;9;54
infelizmente;50;15;25;78
valer;26;42;11;81
diferença;26;74;7;61
decisão;34;26;38;65
acesso;98;26;7;31
militar;65;13;33;54
esperança;3;102;12;43
oportunidade;53;58;9;47
esquecer;9;44;18;87
versículo;0;155;0;5
transformar;22;75;14;46
of;0;0;0;8
internet;11;23;21;103
aumentar;43;14;31;67
prefeito;58;4;9;56
posição;39;48;8;70
ok;83;26;4;52
jejum;0;156;0;4
meta;126;3;0;17
escutar;13;68;9;74
alma;0;104;6;50
esposo;0;102;14;39
capítulo;3;148;1;5
mídia;5;5;42;113
garantir;109;14;11;29
legal;12;19;2;124
câmara;96;10;11;41
básico;112;7;8;29
alcançar;11;92;6;42
atenção;38;31;8;74
manter;52;24;16;63
enfrentar;34;44;14;58
candidato;9;0;19;126
ato;33;33;63;29
sistema;76;8;19;53
preocupado;15;21;23;82
passo;62;30;14;53
ontem;24;38;7;89
andar;13;47;20;73
escolar;149;0;0;1
completamente;16;26;18;102
morar;9;42;27;58
manifestação;27;10;44;64
finalizar;49;58;6;47
chorar;2;91;11;36
acompanhar;39;51;5;59
fácil;9;34;5;102
ensinar;19;85;3;37
resultado;81;18;5;41
papel;41;17;17;67
orientação;95;3;1;8
opinião;54;3;32;55
amanhã;3;101;4;37
cultura;24;28;6;82
violência;89;8;20;23
paraa;71;35;17;35
atacar;14;18;20;94
espaço;49;23;11;56
autoridade;14;108;9;22
programa;118;2;6;23
monte;2;28;15;99
alegria;4;118;1;17
absurdo;31;9;23;87
alto;30;54;22;50
abraço;7;82;4;34
texto;36;97;1;11
sentar;15;34;9;66
relator;119;1;20;7
luz;12;61;4;58
participar;59;34;12;46
menina;14;27;10;75
virar;14;26;23;74
perseguir;11;30;60;37
pedido;80;25;19;25
medida;48;10;31;57
ideológico;70;3;12;49
decidir;34;21;36;44
velho;6;29;10;104
trabalhador;25;2;27;76
quebrar;5;25;40;60
pô;1;8;22;117
população;49;9;34;50
neto;4;18;11;102
misericórdia;0;124;2;2
joão;12;57;10;46
culpa;6;8;30;79
gastar;13;6;35;71
filme;0;11;5;98
discurso;35;6;18;85
cuidar;15;64;10;49
comprar;9;7;11;114
considerar;45;22;20;46
apoiar;26;7;45;61
fundamental;119;13;5;6
dor;2;104;7;30
estratégia;45;10;3;74
clamar;0;138;1;2
