"";"Coord. facteur 1";"Coord. facteur 2";"Corr. facteur 1";"Corr. facteur 2";"COR -facteur 1";"COR -facteur 2";"CTR -facteur 1";"CTR -facteur 2";"mass";"chi.distance";"inertie"
"colocar";1,57026248356393;0,255760562413122;0,986993666199664;0,160759145561754;0,984963954370984;0,015036045629016;0,00956766622562008;0,00025382165022236;0,00388026607538803;0,370755995339629;0,000533381406076469
"ano";1,40516938675491;1,03269301954553;0,805793240916136;0,592196971364993;0,762895070674216;0,237104929325784;0,00875610201983667;0,00472928990074528;0,00443458980044346;0,376983525644156;0,000630228729964959
"até";-0,361723063001474;-0,781821507284641;-0,419902408300877;-0,907569263198751;0,271138656353389;0,728861343646611;0,0004351781850571;0,00203296519707149;0,00332594235033259;0,162782073606721;8,81308319990151e-05
"depois";0,327973391070069;-2,81200434003478;0,115848018310531;-0,993266951354732;0,0230944266108297;0,97690557338917;0,000298133440271621;0,0219162095575788;0,00277161862527716;0,505721147550428;0,00070885221474424
"aí";-1,97965865411256;-1,16479263900679;-0,861879500174202;-0,507113130553202;0,833883542042734;0,166116457957266;0,0412760085084549;0,0142894101695142;0,0105321507760532;0,507999995075159;0,00271796890517232
"cair";3,72244961033318;-3,38957227520805;0,73939337934625;-0,673273666928191;0,676995499029945;0,323004500970056;0,0384052968444281;0,0318436812884121;0,00277161862527716;1,06013710074396;0,00311499632032655
"bolsonaro";-0,772054016245363;0,023700434165125;-0,999529152335109;0,0306834423143689;0,999458033498105;0,000541966501895113;0,00297372873392758;2,80232550805921e-06;0,00498891352549889;0,180963714244392;0,000163376270985662
"dizer";2,89082852467042;2,45646620799018;0,762035313795866;0,647535466617881;0,706465795242329;0,293534204757671;0,0602214879532293;0,0434838919085197;0,00720620842572062;0,805940273033323;0,00468071862974576
"chamar";2,39195596395755;1,25103672843279;0,886119548805826;0,463456735007874;0,864000204349743;0,135999795650257;0,0158576866228163;0,00433784062053164;0,00277161862527716;0,603007000359541;0,00100780887606045
"vir";2,02816555325017;4,36276455973811;0,421555199791141;0,906802742347558;0,273029415486078;0,726970584513921;0,0125410229005811;0,0580296176942282;0,00304878048780488;0,909546232262365;0,00252217789214227
"moral";3,28971239996691;-0,667406496811437;0,980034732980788;-0,198826361811695;0,976863923182495;0,023136076817506;0,0389935420644259;0,00160493586912957;0,00360310421286031;0,779950413970981;0,00219184989670054
"mais";-0,95537943367961;1,45941970758405;-0,547708497804791;0,836669230599774;0,426846464302206;0,573153535697795;0,0055655479408413;0,0129872309931995;0,00609756097560976;0,3426621538586;0,000715959461506187
"saber";-1,04412152407196;-0,641979450268233;-0,851861044892307;-0,523767849523993;0,82133106264561;0,17866893735439;0,00936692973058233;0,00354109369500216;0,0085920177383592;0,269971563132091;0,00062622616183468
"quem";2,9397516175533;1,9145541724459;0,837959330922912;0,545732681556845;0,803816815377312;0,196183184622688;0,0335338010035204;0,0142231838994512;0,00388026607538803;0,768348399503995;0,00229075102058894
"uma";-1,26009251113923;0,474592066154447;-0,935825883286921;0,352462645070728;0,924534274266466;0,075465725733534;0,0264052073718821;0,00374563685016764;0,016629711751663;0,307090950810722;0,00156826250670455
"outro";-0,171684829539275;-2,45534311702017;-0,0697526381476618;-0,997564318463447;0,00842508600749646;0,991574913992503;0,000106203949285224;0,0217220697588355;0,00360310421286031;0,438299370196288;0,000692179155456766
"lá";-1,47511002580069;-0,553658151099976;-0,936226498154646;-0,351397131680225;0,925015064423401;0,0749849355765992;0,0114587145721;0,00161424878528532;0,00526607538802661;0,359398374487591;0,000680204168542718
