cultural;97;adj
debater;97;ver
mostrando;97;ver
sofrimento;97;nom
audiência;97;nom
amo;97;ver
velho;96;adj
toma;96;ver
senão;96;adv
recursos;96;nom
canal;96;nom
faculdade;96;nom
pergunto;95;ver
conversa;95;nom
começo;95;nom
olho;95;nom
plenário;95;nom
perguntar;94;ver
perdeu;94;ver
pré;94;adj
prática;94;adj
repúdio;94;nom
cá;93;adv
pensa;93;ver
oposição;93;nom
normal;93;adj
super;93;adj
encontrar;93;ver
absurdo;93;adj
meta;93;nom
entendimento;93;nom
entrando;93;ver
lutando;92;ver
jair;92;nom
economia;92;nom
inteira;92;adj
medida;92;nom
trouxe;92;ver
adolescente;92;adj
defendendo;92;ver
mec;92;nr
mata;91;nom
globo;91;nom
entrou;91;ver
atos;91;nom
it;91;nom
conservador;91;adj
parlamentares;91;adj
cristianismo;91;nom
loucura;90;nom
casamento;90;nom
relator;90;nom
mudança;90;nom
capacidade;90;nom
construir;90;ver
manda;90;ver
dados;90;nom
menino;90;nom
flávio;89;nom
irmãos;89;nom
casos;89;nom
municipal;89;adj
cuidar;89;ver
juventude;89;nom
dito;88;adj
condições;88;nom
sangue;88;nom
conhecer;88;ver
item;88;nom
aleluia;88;nom
longo;87;adj
traz;87;ver
solução;87;nom
vive;87;ver
manter;87;ver
notícia;87;nom
perguntas;87;nom
gerar;87;ver
leitura;87;nom
corações;87;nom
alfabetização;87;nom
diabo;87;nom
ô;86;nr
condenado;86;ver
significa;86;ver
ncolas;86;nr
ditadura;86;nom
mandou;86;ver
foco;86;nom
único;86;adj
mês;86;nom
total;86;adj
adianta;86;ver
dificuldade;86;nom
consiga;86;ver
relacionamento;86;nom
metas;86;nom
contexto;86;nom
mandar;85;ver
específico;85;adj
trata;85;ver
certa;85;adj
mensagem;85;nom
alto;85;adj
sério;85;adj
uso;85;nom
frase;85;nom
municípios;85;nom
constituição;84;nom
combater;84;ver
dilma;84;nr
parecer;84;nom
novamente;84;adv
honra;84;nom
lgbt;84;nr
institutos;84;nom
série;84;nom
pastores;84;nom
mesmos;83;adv
sente;83;ver
resolver;83;ver
criminoso;83;adj
ato;83;nom
geral;83;adj
pressão;83;nom
israel;83;nom
gosta;83;ver
bater;83;ver
show;83;nom
crise;83;nom
especial;83;adj
lugares;83;nom
quarto;83;nom
guarda;83;nom
aumento;82;nom
fundo;82;nom
cair;82;ver
estrutura;82;nom
experiência;82;nom
encontro;82;nom
cadê;81;adv
busca;81;nom
etc;81;nr
recebeu;81;ver
tristeza;81;nom
ódio;81;nom
policial;81;adj
líderes;81;nom
ideias;81;nom
funciona;81;ver
comecei;81;ver
pobre;80;adj
bandeira;80;nom
gênero;80;nom
professora;80;nom
independente;80;adj
prazer;80;nom
américa;79;nom
percebe;79;ver
impressionante;79;adj
trás;79;adv
união;79;nom
cantar;79;ver
identidade;79;nom
cumprir;79;ver
conteúdo;79;nom
fechar;79;ver
tocar;78;ver
absolutamente;78;adv
alcançar;78;ver
triste;78;adj
termos;78;nom
lembra;78;ver
campo;78;nom
senador;78;nom
pensando;78;ver
europa;78;nom
ea;78;nr
perto;77;adv
entregar;77;ver
confesso;77;ver
crimes;77;nom
influência;77;nom
necessidade;77;nom
vice;77;nom
sentir;77;ver
decreto;77;nom
agradeço;77;ver
levante;77;nom
perseguição;76;nom
inimigos;76;adj
aprendi;76;ver
ônibus;76;nom
possibilidade;76;nom
milhão;76;nom
eleitoral;76;adj
mudou;76;ver
juntos;76;adj
hospital;76;nom
espera;76;ver
bola;75;nom
votado;75;ver
drogas;75;nom
salário;75;nom
locais;75;nom
perceber;75;ver
boas;75;adj
formação;75;nom
ganha;75;ver
armada;75;nom
fruto;75;nom
repito;74;ver
marido;74;nom
dê;74;ver
principal;74;adj
perfeito;74;adj
compartilhar;74;ver
